competition,club_name,football_data_team_id,aliases,ground_name,postcode,latitude,longitude,official_site_url,ticket_url,price_source_url,ground_source_url,coordinates_source_url,verified_at
PL,Arsenal,57,Arsenal FC|Arsenal,Emirates Stadium,N5 1BU,51.5549,-0.1084,https://www.arsenal.com/,https://www.arsenal.com/tickets,https://www.arsenal.com/tickets,https://www.arsenal.com/emirates-stadium,https://www.openstreetmap.org/search?query=Emirates%20Stadium%20N5%201BU,2026-05-10
PL,Aston Villa,58,Aston Villa FC|Aston Villa,Villa Park,B6 6HE,52.5092,-1.8848,https://www.avfc.co.uk/,https://www.avfc.co.uk/tickets/,https://www.avfc.co.uk/tickets/,https://www.avfc.co.uk/villa-park,https://www.openstreetmap.org/search?query=Villa%20Park%20B6%206HE,2026-05-10
PL,Bournemouth,1044,AFC Bournemouth|Bournemouth,Vitality Stadium,BH7 7AF,50.7352,-1.8383,https://www.afcb.co.uk/,https://www.afcb.co.uk/tickets/,https://www.afcb.co.uk/tickets/,https://www.afcb.co.uk/club/vitality-stadium/,https://www.openstreetmap.org/search?query=Vitality%20Stadium%20BH7%207AF,2026-05-10
PL,Brentford,402,Brentford FC|Brentford,Gtech Community Stadium,TW8 0RU,51.4908,-0.2887,https://www.brentfordfc.com/,https://www.brentfordfc.com/en/tickets,https://www.brentfordfc.com/en/tickets,https://www.premierleague.com/en/clubs/130/brentford/stadium,https://www.openstreetmap.org/search?query=Gtech%20Community%20Stadium%20TW8%200RU,2026-05-10
PL,Brighton & Hove Albion,397,Brighton & Hove Albion FC|Brighton|Brighton Hove Albion,American Express Stadium,BN1 9BL,50.8618,-0.0833,https://www.brightonandhovealbion.com/,https://tickets.brightonandhovealbion.com/,https://tickets.brightonandhovealbion.com/,https://www.brighton-hove.gov.uk/directories/event-venue/american-express-stadium,https://www.openstreetmap.org/search?query=American%20Express%20Stadium%20BN1%209BL,2026-05-10
PL,Burnley,328,Burnley FC|Burnley,Turf Moor,BB10 4BX,53.7891,-2.2302,https://www.burnleyfootballclub.com/,https://www.burnleyfootballclub.com/tickets,https://www.burnleyfootballclub.com/tickets,https://www.burnleyfootballclub.com/content/turf-moor,https://www.openstreetmap.org/search?query=Turf%20Moor%20BB10%204BX,2026-05-10
PL,Chelsea,61,Chelsea FC|Chelsea,Stamford Bridge,SW6 1HS,51.4817,-0.1910,https://www.chelseafc.com/,https://www.chelseafc.com/en/tickets,https://www.chelseafc.com/en/tickets,https://www.chelseafc.com/en/stamford-bridge,https://www.openstreetmap.org/search?query=Stamford%20Bridge%20SW6%201HS,2026-05-10
PL,Crystal Palace,354,Crystal Palace FC|Crystal Palace,Selhurst Park,SE25 6PU,51.3983,-0.0855,https://www.cpfc.co.uk/,https://www.cpfc.co.uk/tickets,https://www.cpfc.co.uk/tickets,https://www.cpfc.co.uk/club/selhurst-park/,https://www.openstreetmap.org/search?query=Selhurst%20Park%20SE25%206PU,2026-05-10
PL,Everton,62,Everton FC|Everton,Hill Dickinson Stadium,L5 9SR,53.4251,-3.0028,https://www.evertonfc.com/,https://www.evertonfc.com/tickets,https://www.evertonfc.com/tickets,https://premium.evertonfc.com/venue-information,https://www.wikidata.org/wiki/Q29347805,2026-05-10
PL,Fulham,63,Fulham FC|Fulham,Craven Cottage,SW6 6HH,51.4750,-0.2217,https://www.fulhamfc.com/,https://www.fulhamfc.com/tickets,https://www.fulhamfc.com/tickets,https://www.fulhamfc.com/visit/craven-cottage,https://www.openstreetmap.org/search?query=Craven%20Cottage%20SW6%206HH,2026-05-10
PL,Leeds United,341,Leeds United FC|Leeds United|Leeds,Elland Road,LS11 0ES,53.7778,-1.5721,https://www.leedsunited.com/,https://www.leedsunited.com/tickets,https://www.leedsunited.com/tickets,https://www.leedsunited.com/en/elland-road,https://www.openstreetmap.org/search?query=Elland%20Road%20LS11%200ES,2026-05-10
PL,Liverpool,64,Liverpool FC|Liverpool,Anfield,L4 0TH,53.4308,-2.9608,https://www.liverpoolfc.com/,https://www.liverpoolfc.com/tickets/tickets-availability,https://www.liverpoolfc.com/tickets/tickets-availability,https://www.liverpoolfc.com/info/anfield,https://www.openstreetmap.org/search?query=Anfield%20L4%200TH,2026-05-10
PL,Manchester City,65,Manchester City FC|Manchester City|Man City,Etihad Stadium,M11 3FF,53.4831,-2.2004,https://www.mancity.com/,https://www.mancity.com/tickets,https://www.mancity.com/tickets,https://www.mancity.com/club/etihad-stadium,https://www.openstreetmap.org/search?query=Etihad%20Stadium%20M11%203FF,2026-05-10
PL,Manchester United,66,Manchester United FC|Manchester United|Man United|Man Utd,Old Trafford,M16 0RA,53.4631,-2.2913,https://www.manutd.com/,https://tickets.manutd.com/,https://tickets.manutd.com/,https://www.manutd.com/en/visit-old-trafford,https://www.openstreetmap.org/search?query=Old%20Trafford%20M16%200RA,2026-05-10
PL,Newcastle United,67,Newcastle United FC|Newcastle United|Newcastle,St. James' Park,NE1 4ST,54.9756,-1.6217,https://www.newcastleunited.com/,https://www.newcastleunited.com/en/tickets,https://www.newcastleunited.com/en/tickets,https://www.newcastleunited.com/en/st-james-park,https://www.openstreetmap.org/search?query=St%20James%20Park%20NE1%204ST,2026-05-10
PL,Nottingham Forest,351,Nottingham Forest FC|Nottingham Forest|Forest,The City Ground,NG2 5FJ,52.9399,-1.1326,https://www.nottinghamforest.co.uk/,https://www.nottinghamforest.co.uk/tickets/,https://www.nottinghamforest.co.uk/tickets/,https://www.nottinghamforest.co.uk/club/the-city-ground/,https://www.openstreetmap.org/search?query=The%20City%20Ground%20NG2%205FJ,2026-05-10
PL,Sunderland,71,Sunderland AFC|Sunderland,Stadium of Light,SR5 1SU,54.9144,-1.3882,https://www.safc.com/,https://www.safc.com/tickets/,https://www.safc.com/tickets/,https://www.safc.com/club/stadium-of-light,https://www.openstreetmap.org/search?query=Stadium%20of%20Light%20SR5%201SU,2026-05-10
PL,Tottenham Hotspur,73,Tottenham Hotspur FC|Tottenham Hotspur|Tottenham|Spurs,Tottenham Hotspur Stadium,N17 0BX,51.6043,-0.0662,https://www.tottenhamhotspur.com/,https://www.tottenhamhotspur.com/tickets/,https://www.tottenhamhotspur.com/tickets/,https://www.tottenhamhotspur.com/the-stadium/,https://www.openstreetmap.org/search?query=Tottenham%20Hotspur%20Stadium%20N17%200BX,2026-05-10
PL,West Ham United,563,West Ham United FC|West Ham United|West Ham,London Stadium,E20 2ST,51.5386,-0.0165,https://www.whufc.com/,https://www.whufc.com/tickets,https://www.whufc.com/tickets,https://www.whufc.com/contact-us,https://www.openstreetmap.org/search?query=London%20Stadium%20E20%202ST,2026-05-10
PL,Wolverhampton Wanderers,76,Wolverhampton Wanderers FC|Wolverhampton Wanderers|Wolves,Molineux Stadium,WV1 4QR,52.5903,-2.1304,https://www.wolves.co.uk/,https://www.wolves.co.uk/tickets/,https://www.wolves.co.uk/tickets/,https://www.wolves.co.uk/club/molineux/,https://www.openstreetmap.org/search?query=Molineux%20Stadium%20WV1%204QR,2026-05-10
